Experiment,Region,Genotype,Period,Amplitude,Phase,RAE
Dull603,1,cca1 lhy-100,20.68,8051,-7.67,0.52
Dull603,2,cca1 lhy-100,23.65,5645,2.8,0.89
Dull603,3,cca1 lhy-100,30.75,5189,8.03,0.59
Dull603,4,cca1 lhy-100,24.87,2926,-3.46,0.99
Dull603,6,cca1 lhy-100,28.83,5482,6.66,0.47
Dull603,9,cca1 lhy-100,18.67,6375,8.28,0.85
Dull603,10,cca1 lhy-100,16.15,4815,-6.11,0.64
Dull603,11,cca1 lhy-100,20.45,7715,-8.67,0.89
Dull603,12,cca1 lhy-100,26.75,2691,-1.06,0.67
Dull603,13,cca1 lhy-100,23.5,4014,9.96,0.62
Dull603,14,cca1 lhy-100,18.68,6296,7.11,0.84
Dull603,15,cca1 lhy-100,19.27,1941,8.72,0.96
Dull603,16,cca1 lhy-100,22.32,3282,3.82,0.88
Dull603,17,cca1 lhy-100,32.4,6574,-12.56,0.56
Dull603,245,cca1 lhy-100,28.02,4755,-4.35,0.88
Dull603,248,cca1 lhy-100,20.95,4974,-7.6,0.64
Dull603,249,cca1 lhy-100,30.43,5177,1.67,0.81
Dull603,250,cca1 lhy-100,26.9,7706,-0.7,0.66
Dull603,251,cca1 lhy-100,23.94,4067,3.94,0.75
Dull603,252,cca1 lhy-100,28.19,11200,4.83,0.56
Dull603,254,cca1 lhy-100,24.29,3507,-4.78,0.63
Dull603,255,cca1 lhy-100,18.32,5912,4.57,0.84
Dull603,256,cca1 lhy-100,16.38,10710,3.87,0.52
Dull603,257,cca1 lhy-100,24.53,9073,-2.73,0.57
Dull603,258,cca1 lhy-100,23.23,5492,1.1,0.57
Dull603,259,cca1 lhy-100,25.66,10130,9.05,0.64
Dull606,136,cca1 lhy-100,30.21,3342,10.99,0.89
Dull606,137,cca1 lhy-100,23.16,8290,-3.78,0.83
Dull606,138,cca1 lhy-100,23.93,2552,-1.89,0.69
Dull606,139,cca1 lhy-100,30.45,6743,15.03,0.46
Dull606,140,cca1 lhy-100,29.84,3856,10.21,0.98
Dull606,141,cca1 lhy-100,29.1,1586,-14.46,0.98
Dull606,143,cca1 lhy-100,34.23,3050,14.4,0.75
Dull606,144,cca1 lhy-100,26.27,4231,-1.87,0.84
Dull606,145,cca1 lhy-100,18.13,3902,-7.07,0.72
Dull606,147,cca1 lhy-100,21.85,1916,-5.09,0.93
Dull606,148,cca1 lhy-100,28.04,2630,10.28,0.85
Dull606,149,cca1 lhy-100,31.52,4939,13.21,0.82
Dull606,150,cca1 lhy-100,29.74,2451,13.83,0.9
Dull606,151,cca1 lhy-100,18.43,4851,-6.52,0.82
Dull606,241,cca1 lhy-100,22.61,2426,-0.61,0.64
Dull606,242,cca1 lhy-100,29.18,2085,7.22,0.97
Dull606,245,cca1 lhy-100,32.78,3571,16.37,0.81
Dull606,246,cca1 lhy-100,29.76,2283,8.5,0.83
Dull606,247,cca1 lhy-100,26.5,2511,-9.3,0.57
Dull606,249,cca1 lhy-100,18.86,3138,-7.78,0.8
Dull606,250,cca1 lhy-100,23.15,5705,-0.09,0.69
Dull606,252,cca1 lhy-100,29.05,3663,4.56,0.61
Dull606,253,cca1 lhy-100,34.66,6170,13.92,0.57
Dull606,255,cca1 lhy-100,25.34,5566,-6.37,0.67
Dull606,256,cca1 lhy-100,27.84,2902,2.53,0.58
Dull606,257,cca1 lhy-100,27.5,3452,-0.75,0.81
Dull607,182,cca1 lhy-100,21.93,12240,-2.7,0.77
Dull607,183,cca1 lhy-100,19.25,3752,-9.22,0.85
Dull607,184,cca1 lhy-100,23.34,5940,-6.19,0.72
Dull607,185,cca1 lhy-100,27.2,8187,4.66,0.65
Dull607,188,cca1 lhy-100,19.64,15910,6.7,0.89
Dull607,190,cca1 lhy-100,21.23,8332,-10.51,0.75
Dull607,191,cca1 lhy-100,25.69,3536,4.91,0.75
Dull607,194,cca1 lhy-100,15.43,7233,3.19,0.68
Dull607,195,cca1 lhy-100,15.62,6622,-0.22,0.68
Dull607,196,cca1 lhy-100,26.04,10860,9.34,0.8
Dull607,197,cca1 lhy-100,19.13,11990,-3.84,0.58
Dull607,284,cca1 lhy-100,34.83,3254,-11.12,0.56
Dull607,286,cca1 lhy-100,26.47,1959,-12.1,0.78
Dull607,287,cca1 lhy-100,22.72,2252,-7.16,0.84
Dull607,288,cca1 lhy-100,18.74,659.5,8.34,0.89
Dull607,289,cca1 lhy-100,26.73,1547,9.2,0.75
Dull607,290,cca1 lhy-100,32.98,3802,7.35,0.71
Dull607,291,cca1 lhy-100,24.17,1865,-1.4,1
Dull607,292,cca1 lhy-100,26.96,3133,-8.64,0.81
Dull607,294,cca1 lhy-100,25.52,2367,5.12,0.72
Dull607,297,cca1 lhy-100,15.49,5037,0.82,0.98
Dull607,299,cca1 lhy-100,29.22,7329,-6.52,0.44
Dull607,300,cca1 lhy-100,18.93,5471,8.89,0.83
Dull603,5,cca1 lhy-100,NA,NA,NA,NA
Dull603,7,cca1 lhy-100,NA,NA,NA,NA
Dull603,8,cca1 lhy-100,NA,NA,NA,NA
Dull603,243,cca1 lhy-100,NA,NA,NA,NA
Dull603,244,cca1 lhy-100,NA,NA,NA,NA
Dull603,246,cca1 lhy-100,NA,NA,NA,NA
Dull603,247,cca1 lhy-100,NA,NA,NA,NA
Dull603,253,cca1 lhy-100,NA,NA,NA,NA
Dull606,142,cca1 lhy-100,NA,NA,NA,NA
Dull606,146,cca1 lhy-100,NA,NA,NA,NA
Dull606,152,cca1 lhy-100,NA,NA,NA,NA
Dull606,243,cca1 lhy-100,NA,NA,NA,NA
Dull606,244,cca1 lhy-100,NA,NA,NA,NA
Dull606,248,cca1 lhy-100,NA,NA,NA,NA
Dull606,251,cca1 lhy-100,NA,NA,NA,NA
Dull606,254,cca1 lhy-100,NA,NA,NA,NA
Dull606,258,cca1 lhy-100,NA,NA,NA,NA
Dull607,181,cca1 lhy-100,NA,NA,NA,NA
Dull607,186,cca1 lhy-100,NA,NA,NA,NA
Dull607,187,cca1 lhy-100,NA,NA,NA,NA
Dull607,189,cca1 lhy-100,NA,NA,NA,NA
Dull607,192,cca1 lhy-100,NA,NA,NA,NA
Dull607,193,cca1 lhy-100,NA,NA,NA,NA
Dull607,285,cca1 lhy-100,NA,NA,NA,NA
Dull607,293,cca1 lhy-100,NA,NA,NA,NA
Dull607,295,cca1 lhy-100,NA,NA,NA,NA
Dull607,296,cca1 lhy-100,NA,NA,NA,NA
Dull607,298,cca1 lhy-100,NA,NA,NA,NA
Dull603,36,cca1 lhy-100 rve468,26.66,3277,-0.54,0.6
Dull603,38,cca1 lhy-100 rve468,31.29,3945,-13.04,0.82
Dull603,39,cca1 lhy-100 rve468,17.62,2789,6.39,0.81
Dull603,40,cca1 lhy-100 rve468,23.82,1438,-6.69,0.86
Dull603,41,cca1 lhy-100 rve468,32.73,2768,6.5,0.99
Dull603,43,cca1 lhy-100 rve468,17.18,3932,7.7,0.84
Dull603,44,cca1 lhy-100 rve468,22.71,3756,6,0.86
Dull603,46,cca1 lhy-100 rve468,22.36,4718,-9.35,0.61
Dull603,48,cca1 lhy-100 rve468,21.15,1499,-6.46,0.74
Dull603,49,cca1 lhy-100 rve468,20.62,1116,-10.29,0.79
Dull603,50,cca1 lhy-100 rve468,22.3,4919,2.22,0.74
Dull603,51,cca1 lhy-100 rve468,23.24,2983,3.42,0.72
Dull603,53,cca1 lhy-100 rve468,19.32,2224,-1.8,0.99
Dull603,350,cca1 lhy-100 rve468,27.27,799.4,7.39,0.93
Dull603,351,cca1 lhy-100 rve468,19.32,1738,-2.74,0.67
Dull603,353,cca1 lhy-100 rve468,26.83,3651,-11,0.52
Dull603,354,cca1 lhy-100 rve468,20.7,2342,-0.71,0.64
Dull603,355,cca1 lhy-100 rve468,23.82,910.6,4.19,0.91
