Experiment,Region,Genotype,Condition,Intensity,Period,Amplitude,Phase,RAE
Dull620,71,cca1 lhy-100 rve468,cB,100,22.57,2656,-5.35,0.81
Dull620,72,cca1 lhy-100 rve468,cB,100,29.04,2888,2.41,0.63
Dull620,73,cca1 lhy-100 rve468,cB,100,29.66,2551,7.14,0.39
Dull620,74,cca1 lhy-100 rve468,cB,100,23.92,6105,2.04,0.59
Dull620,75,cca1 lhy-100 rve468,cB,100,23.48,3785,-7.71,0.74
Dull620,76,cca1 lhy-100 rve468,cB,100,22.85,3292,0.99,0.67
Dull620,77,cca1 lhy-100 rve468,cB,100,16.5,2242,5.73,0.89
Dull620,317,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull620,318,cca1 lhy-100 rve468,cB,1,22.48,2213,0.48,0.65
Dull620,319,cca1 lhy-100 rve468,cB,1,21.9,2233,0.28,0.56
Dull620,320,cca1 lhy-100 rve468,cB,1,28.79,2789,-8.8,0.82
Dull620,321,cca1 lhy-100 rve468,cB,1,23.8,6223,-2.27,0.71
Dull620,322,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull620,323,cca1 lhy-100 rve468,cB,1,20.21,3376,-6.71,0.68
Dull620,324,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull620,325,cca1 lhy-100 rve468,cB,1,21.77,5363,-1.13,0.46
Dull620,326,cca1 lhy-100 rve468,cB,1,22.45,5513,-0.74,0.9
Dull620,327,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull620,328,cca1 lhy-100 rve468,cB,1,22.89,3440,4.64,0.71
Dull620,329,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull621,79,cca1 lhy-100 rve468,cR,200,34.87,1390,8.31,0.52
Dull621,80,cca1 lhy-100 rve468,cR,200,28.18,1133,3.68,0.37
Dull621,81,cca1 lhy-100 rve468,cR,200,15.74,1228,0.77,0.91
Dull621,82,cca1 lhy-100 rve468,cR,200,31.57,939.6,14.41,0.48
Dull621,83,cca1 lhy-100 rve468,cR,200,25.45,1920,-1.47,0.56
Dull621,84,cca1 lhy-100 rve468,cR,200,26.22,2599,0.57,0.63
Dull621,85,cca1 lhy-100 rve468,cR,200,28.23,1586,4.51,0.66
Dull621,86,cca1 lhy-100 rve468,cR,200,31.29,1519,6.06,0.76
Dull621,87,cca1 lhy-100 rve468,cR,200,19.66,3657,7.14,0.85
Dull621,88,cca1 lhy-100 rve468,cR,200,19.83,1449,6.97,0.75
Dull621,89,cca1 lhy-100 rve468,cR,200,NA,NA,NA,NA
Dull621,90,cca1 lhy-100 rve468,cR,200,30.86,1615,13.76,0.61
Dull621,91,cca1 lhy-100 rve468,cR,200,28.56,2543,-1.57,0.87
Dull621,92,cca1 lhy-100 rve468,cR,200,27.48,1698,3.8,0.95
Dull621,93,cca1 lhy-100 rve468,cR,200,23.51,2017,10.01,0.57
Dull621,94,cca1 lhy-100 rve468,cR,200,27.98,2063,0.82,0.67
Dull621,95,cca1 lhy-100 rve468,cR,200,31.31,1887,3.78,0.73
Dull621,96,cca1 lhy-100 rve468,cR,200,30.15,3833,1.51,0.45
Dull621,208,cca1 lhy-100 rve468,cR,1,29.11,1817,6.9,0.9
Dull621,209,cca1 lhy-100 rve468,cR,1,26.81,3383,-2.54,0.57
Dull621,210,cca1 lhy-100 rve468,cR,1,22.32,1850,8.19,0.76
Dull621,211,cca1 lhy-100 rve468,cR,1,17.28,510.1,2.24,0.98
Dull621,212,cca1 lhy-100 rve468,cR,1,26.61,1905,-5.59,0.62
Dull621,213,cca1 lhy-100 rve468,cR,1,23.24,2913,-8.09,0.65
Dull621,214,cca1 lhy-100 rve468,cR,1,24.75,2367,-6.49,0.62
Dull621,215,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,216,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,217,cca1 lhy-100 rve468,cR,1,18.86,2796,-7.06,0.84
Dull621,218,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,219,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,220,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,221,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,222,cca1 lhy-100 rve468,cR,1,17.11,1456,-7.94,0.83
Dull621,223,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull621,224,cca1 lhy-100 rve468,cR,1,26.52,871.6,-10.57,0.89
Dull621,225,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull622,40,cca1 lhy-100 rve468,cB,1,18.74,180,7.5,0.88
Dull622,41,cca1 lhy-100 rve468,cB,1,18.16,1412,1.25,0.72
Dull622,42,cca1 lhy-100 rve468,cB,1,25.67,2043,-6.34,0.46
Dull622,43,cca1 lhy-100 rve468,cB,1,19.91,620.8,4.6,0.67
Dull622,44,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull622,45,cca1 lhy-100 rve468,cB,1,26.7,161.1,-9.31,0.87
Dull622,46,cca1 lhy-100 rve468,cB,1,22.85,281.5,3.58,0.58
Dull622,47,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull622,48,cca1 lhy-100 rve468,cB,1,26.87,328.5,4.44,0.78
Dull622,49,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull622,50,cca1 lhy-100 rve468,cB,1,18.56,766.1,-5.32,0.91
Dull622,51,cca1 lhy-100 rve468,cB,1,24.73,286.5,-12.07,0.75
Dull622,52,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull622,261,cca1 lhy-100 rve468,cB,10,24.12,1273,-3.98,0.56
Dull622,262,cca1 lhy-100 rve468,cB,10,NA,NA,NA,NA
Dull622,263,cca1 lhy-100 rve468,cB,10,NA,NA,NA,NA
Dull622,264,cca1 lhy-100 rve468,cB,10,NA,NA,NA,NA
Dull622,265,cca1 lhy-100 rve468,cB,10,NA,NA,NA,NA
Dull622,266,cca1 lhy-100 rve468,cB,10,22.29,1509,-8.72,0.61
Dull622,267,cca1 lhy-100 rve468,cB,10,NA,NA,NA,NA
Dull622,268,cca1 lhy-100 rve468,cB,10,18.88,1675,3.6,0.54
Dull622,269,cca1 lhy-100 rve468,cB,10,NA,NA,NA,NA
Dull622,270,cca1 lhy-100 rve468,cB,10,32.24,933,-3.61,0.56
Dull622,271,cca1 lhy-100 rve468,cB,10,19.03,535.1,4.35,0.45
Dull622,272,cca1 lhy-100 rve468,cB,10,26.13,606.3,1.86,0.75
Dull622,273,cca1 lhy-100 rve468,cB,10,34.39,786.3,-16.7,0.54
Dull622,395,cca1 lhy-100 rve468,cB,100,19.04,663.4,3.65,0.63
Dull622,396,cca1 lhy-100 rve468,cB,100,NA,NA,NA,NA
Dull622,397,cca1 lhy-100 rve468,cB,100,29.49,291.2,-10.97,0.95
Dull622,398,cca1 lhy-100 rve468,cB,100,27.76,697.2,-11.65,0.73
Dull622,399,cca1 lhy-100 rve468,cB,100,33.1,873.3,5.16,0.55
Dull622,400,cca1 lhy-100 rve468,cB,100,24.56,705.8,4.5,0.76
Dull622,401,cca1 lhy-100 rve468,cB,100,NA,NA,NA,NA
Dull622,402,cca1 lhy-100 rve468,cB,100,29.09,473.9,-8.05,0.85
Dull622,403,cca1 lhy-100 rve468,cB,100,21.28,1191,-5.67,0.94
Dull622,404,cca1 lhy-100 rve468,cB,100,19.63,735.6,-8.71,0.95
Dull622,405,cca1 lhy-100 rve468,cB,100,NA,NA,NA,NA
Dull622,406,cca1 lhy-100 rve468,cB,100,21.58,1193,10.63,0.55
Dull622,407,cca1 lhy-100 rve468,cB,100,NA,NA,NA,NA
Dull622,460,cca1 lhy-100 rve468,cB,200,34.86,430.3,-11.62,0.7
Dull622,461,cca1 lhy-100 rve468,cB,200,27.17,281.7,11.66,0.84
Dull622,462,cca1 lhy-100 rve468,cB,200,NA,NA,NA,NA
Dull622,463,cca1 lhy-100 rve468,cB,200,33.34,393.6,-1.13,0.68
Dull622,464,cca1 lhy-100 rve468,cB,200,31.67,1228,-2.05,0.67
Dull622,465,cca1 lhy-100 rve468,cB,200,16.05,1006,-6.84,0.88
Dull622,466,cca1 lhy-100 rve468,cB,200,NA,NA,NA,NA
Dull622,467,cca1 lhy-100 rve468,cB,200,34.78,3765,12.73,0.37
Dull622,468,cca1 lhy-100 rve468,cB,200,26.03,635.9,9.71,0.84
Dull622,469,cca1 lhy-100 rve468,cB,200,NA,NA,NA,NA
Dull622,470,cca1 lhy-100 rve468,cB,200,22.12,691.6,-0.31,0.44
Dull624,33,cca1 lhy-100 rve468,cR,1,29.84,1809,-3.1,0.9
Dull624,34,cca1 lhy-100 rve468,cR,1,21.32,2558,2.91,0.73
Dull624,35,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull624,36,cca1 lhy-100 rve468,cR,1,18.51,1539,-1.8,0.93
Dull624,37,cca1 lhy-100 rve468,cR,1,28.75,2886,-10.43,0.31
Dull624,38,cca1 lhy-100 rve468,cR,1,21.1,1687,-6.87,0.69
Dull624,39,cca1 lhy-100 rve468,cR,1,27.07,683.8,10.44,0.84
Dull624,40,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull624,41,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull624,42,cca1 lhy-100 rve468,cR,1,17.92,1181,2.48,0.82
Dull624,43,cca1 lhy-100 rve468,cR,1,21.85,1688,-1.12,0.61
Dull624,44,cca1 lhy-100 rve468,cR,1,NA,NA,NA,NA
Dull624,249,cca1 lhy-100 rve468,cR,10,21.23,832.6,-1.4,0.66
Dull624,250,cca1 lhy-100 rve468,cR,10,22.9,1805,0.45,0.47
Dull624,251,cca1 lhy-100 rve468,cR,10,NA,NA,NA,NA
Dull624,252,cca1 lhy-100 rve468,cR,10,NA,NA,NA,NA
Dull624,253,cca1 lhy-100 rve468,cR,10,26.8,2435,2.03,0.73
Dull624,254,cca1 lhy-100 rve468,cR,10,NA,NA,NA,NA
Dull624,255,cca1 lhy-100 rve468,cR,10,30.77,1638,-4.82,0.61
Dull624,256,cca1 lhy-100 rve468,cR,10,NA,NA,NA,NA
Dull624,257,cca1 lhy-100 rve468,cR,10,NA,NA,NA,NA
Dull624,258,cca1 lhy-100 rve468,cR,10,31.81,2543,3.45,0.61
Dull624,259,cca1 lhy-100 rve468,cR,10,28.87,2208,-9.15,0.55
Dull624,260,cca1 lhy-100 rve468,cR,10,18.49,1397,-2.34,0.7
Dull624,261,cca1 lhy-100 rve468,cR,10,26.02,984.8,2.79,0.72
Dull624,516,cca1 lhy-100 rve468,cR,100,20.76,849.4,-6.76,0.85
Dull624,517,cca1 lhy-100 rve468,cR,100,28.62,2049,-11.14,0.68
Dull624,518,cca1 lhy-100 rve468,cR,100,29.6,1201,-5.2,0.74
Dull624,519,cca1 lhy-100 rve468,cR,100,23.4,1311,5.91,0.78
Dull624,520,cca1 lhy-100 rve468,cR,100,NA,NA,NA,NA
Dull624,521,cca1 lhy-100 rve468,cR,100,28.65,1119,-8.97,0.55
Dull624,522,cca1 lhy-100 rve468,cR,100,32.65,1987,-2.44,0.37
Dull624,523,cca1 lhy-100 rve468,cR,100,28.34,922.7,-7.62,0.81
Dull624,524,cca1 lhy-100 rve468,cR,100,NA,NA,NA,NA
Dull624,525,cca1 lhy-100 rve468,cR,100,26.52,849.9,9.94,0.88
Dull624,526,cca1 lhy-100 rve468,cR,100,25.72,821,6.9,0.68
Dull624,527,cca1 lhy-100 rve468,cR,100,27.16,787.9,12.98,0.51
Dull624,528,cca1 lhy-100 rve468,cR,100,25.95,848.4,7.22,0.77
Dull625,14,cca1 lhy-100 rve468,cR+cB,1,26.64,557.2,8.76,0.4
Dull625,15,cca1 lhy-100 rve468,cR+cB,1,23.5,973.4,-8.69,0.87
Dull625,16,cca1 lhy-100 rve468,cR+cB,1,27.44,606.1,11.69,0.43
Dull625,17,cca1 lhy-100 rve468,cR+cB,1,16.52,708.1,-4.08,0.91
Dull625,18,cca1 lhy-100 rve468,cR+cB,1,27.23,998.7,9.89,0.41
Dull625,19,cca1 lhy-100 rve468,cR+cB,1,27.07,2711,-7.04,0.52
Dull625,20,cca1 lhy-100 rve468,cR+cB,1,26.97,1726,3.66,0.59
Dull625,21,cca1 lhy-100 rve468,cR+cB,1,20.66,1735,-4.6,0.56
Dull625,22,cca1 lhy-100 rve468,cR+cB,1,19.38,2065,-8.07,0.55
Dull625,23,cca1 lhy-100 rve468,cR+cB,1,26.17,2977,5.4,0.44
Dull625,24,cca1 lhy-100 rve468,cR+cB,1,26.78,1938,9.31,0.4
Dull625,25,cca1 lhy-100 rve468,cR+cB,1,25.78,2474,5.4,0.45
Dull625,26,cca1 lhy-100 rve468,cR+cB,1,27.83,1343,11.7,0.4
Dull625,225,cca1 lhy-100 rve468,cR+cB,10,18.49,1211,8.59,0.76
Dull625,226,cca1 lhy-100 rve468,cR+cB,10,26.53,1567,9.11,0.46
Dull625,227,cca1 lhy-100 rve468,cR+cB,10,26.44,1166,8.27,0.39
Dull625,228,cca1 lhy-100 rve468,cR+cB,10,26.48,2012,7.2,0.41
Dull625,229,cca1 lhy-100 rve468,cR+cB,10,33.58,5753,-0.79,0.53
Dull625,230,cca1 lhy-100 rve468,cR+cB,10,21.07,1972,9.05,0.62
Dull625,231,cca1 lhy-100 rve468,cR+cB,10,26.99,1939,11.25,0.42
Dull625,232,cca1 lhy-100 rve468,cR+cB,10,22.19,2190,7.98,0.8
Dull625,233,cca1 lhy-100 rve468,cR+cB,10,23.71,2359,-1.21,0.59
Dull625,234,cca1 lhy-100 rve468,cR+cB,10,21.79,2908,-7.03,0.66
Dull625,235,cca1 lhy-100 rve468,cR+cB,10,27.51,1396,11.9,0.54
Dull625,236,cca1 lhy-100 rve468,cR+cB,10,26.03,1287,6,0.4
Dull625,237,cca1 lhy-100 rve468,cR+cB,10,26.22,1101,7.42,0.85
Dull625,364,cca1 lhy-100 rve468,cR+cB,100,22.41,1524,-2.87,0.73
Dull625,365,cca1 lhy-100 rve468,cR+cB,100,NA,NA,NA,NA
Dull625,366,cca1 lhy-100 rve468,cR+cB,100,25.57,1319,6.55,0.5
Dull625,367,cca1 lhy-100 rve468,cR+cB,100,27.02,1253,-13.04,0.73
Dull625,368,cca1 lhy-100 rve468,cR+cB,100,21.61,1612,-5.28,0.82
Dull625,369,cca1 lhy-100 rve468,cR+cB,100,30.75,2087,-10.03,0.59
Dull625,370,cca1 lhy-100 rve468,cR+cB,100,26.86,1679,8.91,0.56
Dull625,371,cca1 lhy-100 rve468,cR+cB,100,29.87,1931,-12.8,0.55
Dull625,372,cca1 lhy-100 rve468,cR+cB,100,27.56,1194,13.23,0.63
Dull625,373,cca1 lhy-100 rve468,cR+cB,100,NA,NA,NA,NA
Dull625,374,cca1 lhy-100 rve468,cR+cB,100,22.58,2042,4.43,0.83
Dull625,375,cca1 lhy-100 rve468,cR+cB,100,20.01,3313,-3.87,0.53
Dull625,376,cca1 lhy-100 rve468,cR+cB,100,NA,NA,NA,NA
Dull625,429,cca1 lhy-100 rve468,cR+cB,200,NA,NA,NA,NA
Dull625,430,cca1 lhy-100 rve468,cR+cB,200,27.42,1428,12.94,0.78
Dull625,431,cca1 lhy-100 rve468,cR+cB,200,28.95,1602,-12.25,0.67
Dull625,432,cca1 lhy-100 rve468,cR+cB,200,16.03,2463,0.47,0.97
Dull625,433,cca1 lhy-100 rve468,cR+cB,200,18.83,1602,-9.17,0.97
Dull625,434,cca1 lhy-100 rve468,cR+cB,200,26.09,2354,6.33,0.52
Dull625,435,cca1 lhy-100 rve468,cR+cB,200,20.91,1867,-4.69,0.94
Dull625,436,cca1 lhy-100 rve468,cR+cB,200,29.69,2623,-13.8,0.51
Dull625,437,cca1 lhy-100 rve468,cR+cB,200,27.49,2674,13.46,0.56
Dull625,438,cca1 lhy-100 rve468,cR+cB,200,26.34,3007,10.66,0.55
Dull625,439,cca1 lhy-100 rve468,cR+cB,200,26.61,2599,7.16,0.74
Dull625,440,cca1 lhy-100 rve468,cR+cB,200,18.36,1486,4.8,0.87
Dull625,441,cca1 lhy-100 rve468,cR+cB,200,30.9,3465,-1.79,0.63
Dull626,98,cca1 lhy-100 rve468,cR+cB,1,26.72,797.6,7.4,0.67
Dull626,99,cca1 lhy-100 rve468,cR+cB,1,18.14,1251,-8.7,0.96
Dull626,100,cca1 lhy-100 rve468,cR+cB,1,27.8,1374,9.23,0.48
Dull626,101,cca1 lhy-100 rve468,cR+cB,1,NA,NA,NA,NA
Dull626,102,cca1 lhy-100 rve468,cR+cB,1,27.02,2351,6.66,0.59
Dull626,103,cca1 lhy-100 rve468,cR+cB,1,NA,NA,NA,NA
Dull626,104,cca1 lhy-100 rve468,cR+cB,1,25.86,1895,4.92,0.69
Dull626,105,cca1 lhy-100 rve468,cR+cB,1,27.2,1624,9.3,0.43
Dull626,106,cca1 lhy-100 rve468,cR+cB,1,26.47,2391,6.42,0.48
Dull626,107,cca1 lhy-100 rve468,cR+cB,1,22.82,2039,-3.94,0.67
Dull626,108,cca1 lhy-100 rve468,cR+cB,1,28.68,1817,13.39,0.95
Dull626,109,cca1 lhy-100 rve468,cR+cB,1,26.58,2033,7.63,0.74
Dull626,315,cca1 lhy-100 rve468,cR+cB,100,26.82,1415,11.61,0.41
Dull626,316,cca1 lhy-100 rve468,cR+cB,100,NA,NA,NA,NA
Dull626,317,cca1 lhy-100 rve468,cR+cB,100,27.83,1654,-13.3,0.51
Dull626,318,cca1 lhy-100 rve468,cR+cB,100,32.12,3812,-3.95,0.28
Dull626,319,cca1 lhy-100 rve468,cR+cB,100,25.19,1682,5.7,0.67
Dull626,320,cca1 lhy-100 rve468,cR+cB,100,26.77,2195,9.45,0.51
Dull626,321,cca1 lhy-100 rve468,cR+cB,100,24.45,3264,4.13,0.44
Dull626,322,cca1 lhy-100 rve468,cR+cB,100,NA,NA,NA,NA
Dull626,323,cca1 lhy-100 rve468,cR+cB,100,26.36,1666,-12.18,0.66
Dull626,324,cca1 lhy-100 rve468,cR+cB,100,30.55,1980,-7.47,0.49
Dull626,325,cca1 lhy-100 rve468,cR+cB,100,33.18,2722,-5.04,0.55
Dull626,326,cca1 lhy-100 rve468,cR+cB,100,26.65,1715,10.35,0.49
Dull626,327,cca1 lhy-100 rve468,cR+cB,100,25.92,2137,8.89,0.53
Dull626,451,cca1 lhy-100 rve468,cR+cB,200,32.31,831.1,-5.14,0.9
Dull626,452,cca1 lhy-100 rve468,cR+cB,200,28.56,1595,-13.5,0.48
Dull626,453,cca1 lhy-100 rve468,cR+cB,200,27.7,3607,12.68,0.42
Dull626,454,cca1 lhy-100 rve468,cR+cB,200,30.53,3079,9.15,0.8
Dull626,455,cca1 lhy-100 rve468,cR+cB,200,21.71,2225,0.65,0.55
Dull626,456,cca1 lhy-100 rve468,cR+cB,200,27.21,1035,-13.45,0.86
Dull626,457,cca1 lhy-100 rve468,cR+cB,200,33.24,2042,2.15,0.59
Dull626,458,cca1 lhy-100 rve468,cR+cB,200,25.3,2352,4.93,0.65
Dull626,459,cca1 lhy-100 rve468,cR+cB,200,NA,NA,NA,NA
Dull626,460,cca1 lhy-100 rve468,cR+cB,200,29.23,1979,-9.33,0.41
Dull626,461,cca1 lhy-100 rve468,cR+cB,200,21.69,1930,-7.28,0.96
Dull626,462,cca1 lhy-100 rve468,cR+cB,200,26.6,2020,12.54,0.58
Dull626,463,cca1 lhy-100 rve468,cR+cB,200,32.82,2275,-7.46,0.9
Dull632,77,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull632,78,cca1 lhy-100 rve468,cB,1,23.11,281.4,-0.61,0.67
Dull632,79,cca1 lhy-100 rve468,cB,1,29.16,362,-7.39,0.56
Dull632,80,cca1 lhy-100 rve468,cB,1,27.15,359.5,12.32,0.68
Dull632,81,cca1 lhy-100 rve468,cB,1,27.86,302.8,-12.47,0.77
Dull632,82,cca1 lhy-100 rve468,cB,1,28.06,617.9,-10,0.54
Dull632,83,cca1 lhy-100 rve468,cB,1,28.41,241.6,-9.32,0.82
Dull632,84,cca1 lhy-100 rve468,cB,1,26.43,261.7,9.5,0.62
Dull632,85,cca1 lhy-100 rve468,cB,1,30.07,306.7,-7.86,0.8
Dull632,86,cca1 lhy-100 rve468,cB,1,25.91,372,8.82,0.44
Dull632,87,cca1 lhy-100 rve468,cB,1,NA,NA,NA,NA
Dull632,88,cca1 lhy-100 rve468,cB,1,25.35,261.3,7.43,0.76
Dull632,89,cca1 lhy-100 rve468,cB,1,24.3,233.7,3.94,0.64
Dull632,137,cca1 lhy-100 rve468,cB,10,26.69,447.7,-13.25,0.45
Dull632,138,cca1 lhy-100 rve468,cB,10,19.66,671.2,2.47,0.8
Dull632,139,cca1 lhy-100 rve468,cB,10,21.41,807.6,7.53,0.57
Dull632,140,cca1 lhy-100 rve468,cB,10,24.68,267.8,4.36,0.66
Dull632,141,cca1 lhy-100 rve468,cB,10,19.12,554.8,-1.48,0.53
Dull632,142,cca1 lhy-100 rve468,cB,10,26.7,402,10.78,0.56
Dull632,143,cca1 lhy-100 rve468,cB,10,20.44,355.5,2.92,0.65
Dull632,144,cca1 lhy-100 rve468,cB,10,29.18,717.7,-10.62,0.58
Dull632,145,cca1 lhy-100 rve468,cB,10,23.35,369.9,1.09,0.88
Dull632,146,cca1 lhy-100 rve468,cB,10,17.51,723.7,-4.56,0.67
Dull632,147,cca1 lhy-100 rve468,cB,10,15.04,229.8,-1.75,0.95
Dull632,148,cca1 lhy-100 rve468,cB,10,26.08,277.2,11.31,0.87
Dull632,149,cca1 lhy-100 rve468,cB,10,29.1,252,-7.91,0.88
Dull632,271,cca1 lhy-100 rve468,cB,100,18.14,654,1.46,0.45
Dull632,272,cca1 lhy-100 rve468,cB,100,NA,NA,NA,NA
Dull632,273,cca1 lhy-100 rve468,cB,100,26.26,1817,11.89,0.55
Dull632,274,cca1 lhy-100 rve468,cB,100,23.79,859.8,7.07,0.61
Dull632,275,cca1 lhy-100 rve468,cB,100,22.2,1390,-4.14,0.57
Dull632,276,cca1 lhy-100 rve468,cB,100,27.96,890,-12.52,0.51
Dull632,277,cca1 lhy-100 rve468,cB,100,27.96,813,-10.7,0.8
Dull632,278,cca1 lhy-100 rve468,cB,100,NA,NA,NA,NA
Dull632,279,cca1 lhy-100 rve468,cB,100,26.53,1390,10.6,0.7
Dull632,280,cca1 lhy-100 rve468,cB,100,18.07,1047,1.84,0.54
Dull632,281,cca1 lhy-100 rve468,cB,100,30.7,1076,-4.64,0.49
Dull632,282,cca1 lhy-100 rve468,cB,100,26.72,1368,8.24,0.64
Dull632,283,cca1 lhy-100 rve468,cB,100,16.84,614.4,-5.36,0.54
Dull632,483,cca1 lhy-100 rve468,cB,200,21.64,664.5,1.36,0.86
Dull632,484,cca1 lhy-100 rve468,cB,200,26.05,942.8,12.46,0.51
Dull632,485,cca1 lhy-100 rve468,cB,200,25.86,566.7,-11.36,0.68
Dull632,486,cca1 lhy-100 rve468,cB,200,26.19,1101,10.57,0.53
Dull632,487,cca1 lhy-100 rve468,cB,200,23.83,503.5,6.31,0.98
Dull632,488,cca1 lhy-100 rve468,cB,200,NA,NA,NA,NA
Dull632,489,cca1 lhy-100 rve468,cB,200,28.32,1033,11.66,0.79
Dull632,490,cca1 lhy-100 rve468,cB,200,26.18,752.2,11.93,0.32
Dull632,491,cca1 lhy-100 rve468,cB,200,26.56,587.1,9.88,0.75
Dull632,492,cca1 lhy-100 rve468,cB,200,29.35,819.3,-8.09,0.53
Dull632,493,cca1 lhy-100 rve468,cB,200,27.85,1150,-9.61,0.56
Dull632,494,cca1 lhy-100 rve468,cB,200,33.11,984.6,-1.07,0.6
Dull632,495,cca1 lhy-100 rve468,cB,200,28.17,1190,-13.07,0.42
Dull633,53,cca1 lhy-100 rve468,cR,1,25.39,1196,9.6,0.52
Dull633,54,cca1 lhy-100 rve468,cR,1,26.58,1774,-0.71,0.77
Dull633,55,cca1 lhy-100 rve468,cR,1,32.64,2228,3.31,0.65
Dull633,56,cca1 lhy-100 rve468,cR,1,29.82,2347,-3.9,0.39
Dull633,57,cca1 lhy-100 rve468,cR,1,24.85,894.6,7.59,0.79
Dull633,58,cca1 lhy-100 rve468,cR,1,19.47,736.8,-0.89,0.91
Dull633,59,cca1 lhy-100 rve468,cR,1,19.84,1766,2.23,0.62
Dull633,60,cca1 lhy-100 rve468,cR,1,29.61,1442,-1.33,0.78
Dull633,61,cca1 lhy-100 rve468,cR,1,24.25,1433,6.53,0.38
Dull633,62,cca1 lhy-100 rve468,cR,1,22.83,1116,4.75,0.92
Dull633,63,cca1 lhy-100 rve468,cR,1,34.23,1250,16.37,0.71
Dull633,64,cca1 lhy-100 rve468,cR,1,25.92,918.8,11.21,0.6
Dull633,253,cca1 lhy-100 rve468,cR,10,17.86,509.9,1.01,0.91
Dull633,254,cca1 lhy-100 rve468,cR,10,19.21,1260,1.71,0.44
Dull633,255,cca1 lhy-100 rve468,cR,10,23.9,1248,6.48,0.74
Dull633,256,cca1 lhy-100 rve468,cR,10,25.05,832.2,11,0.69
Dull633,257,cca1 lhy-100 rve468,cR,10,23.21,1416,-0.71,0.81
Dull633,258,cca1 lhy-100 rve468,cR,10,NA,NA,NA,NA
Dull633,259,cca1 lhy-100 rve468,cR,10,16.93,812.9,-2.57,0.6
Dull633,260,cca1 lhy-100 rve468,cR,10,22.9,1521,3.05,0.43
Dull633,261,cca1 lhy-100 rve468,cR,10,28.69,1281,2.45,0.56
Dull633,262,cca1 lhy-100 rve468,cR,10,19.99,851.9,-0.36,0.44
Dull633,263,cca1 lhy-100 rve468,cR,10,21.01,1093,7.53,0.46
Dull633,264,cca1 lhy-100 rve468,cR,10,24.63,1356,-7.62,0.94
Dull633,388,cca1 lhy-100 rve468,cR,200,NA,NA,NA,NA
Dull633,389,cca1 lhy-100 rve468,cR,200,24.86,864.6,8.06,0.68
Dull633,390,cca1 lhy-100 rve468,cR,200,32.52,1669,-9.14,0.81
Dull633,391,cca1 lhy-100 rve468,cR,200,23.79,2087,3.65,0.33
Dull633,392,cca1 lhy-100 rve468,cR,200,25.05,2730,-5.37,0.84
Dull633,393,cca1 lhy-100 rve468,cR,200,24,1659,6.65,0.37
Dull633,394,cca1 lhy-100 rve468,cR,200,NA,NA,NA,NA
Dull633,395,cca1 lhy-100 rve468,cR,200,NA,NA,NA,NA
Dull633,396,cca1 lhy-100 rve468,cR,200,19.64,1428,0.45,0.86
Dull633,397,cca1 lhy-100 rve468,cR,200,25.6,1152,12.58,0.49
Dull633,398,cca1 lhy-100 rve468,cR,200,NA,NA,NA,NA
Dull633,399,cca1 lhy-100 rve468,cR,200,32.12,954.2,-6.41,0.76
Dull633,400,cca1 lhy-100 rve468,cR,200,26.04,729.4,-12.61,0.64
Dull633,525,cca1 lhy-100 rve468,cR,100,25.09,1587,9.41,0.73
Dull633,526,cca1 lhy-100 rve468,cR,100,19.49,1283,3.93,0.65
Dull633,527,cca1 lhy-100 rve468,cR,100,22.97,798.3,4.47,0.63
Dull633,528,cca1 lhy-100 rve468,cR,100,21.97,2803,0.15,0.56
Dull633,529,cca1 lhy-100 rve468,cR,100,21.07,1252,-0.66,0.72
Dull633,530,cca1 lhy-100 rve468,cR,100,26.03,1178,-11.56,0.46
Dull633,531,cca1 lhy-100 rve468,cR,100,24.64,744.4,9.89,0.6
Dull633,532,cca1 lhy-100 rve468,cR,100,19.17,1312,2.18,0.62
Dull633,533,cca1 lhy-100 rve468,cR,100,NA,NA,NA,NA
Dull633,534,cca1 lhy-100 rve468,cR,100,25.67,1115,12.46,0.49
Dull633,535,cca1 lhy-100 rve468,cR,100,23.43,763.1,4.04,0.87
